Borough,Collision ID,Contributing Factor 1,Crash Date,Crash Time,Latitude,Location,Longitude,Number of Cyclists Injured,Number of Cyclists Killed,Number of Motorists Injured,Number of Motorists Killed,Number of Pedestrians Injured,number_of_pedestrians_killed,Number of Persons Killed,Number of Persons Killed,Vehicle 1 Code,Zip Code
BROOKLYN,4345244,Other Vehicular,2020-09-04T00:00:00.000,2020-12-14 20:30:00,40.6597,"{'latitude': '40.6597', 'longitude': '-73.915985'}",-73.915985,0,0,0,0,0,0,0,0,Sedan,11212.0
BROOKLYN,4344308,Unspecified,2020-09-02T00:00:00.000,2020-12-14 14:30:00,40.67132,"{'latitude': '40.67132', 'longitude': '-73.87535'}",-73.87535,0,0,0,0,0,0,0,0,Sedan,11208.0
BROOKLYN,4341742,Unspecified,2020-08-24T00:00:00.000,2020-12-14 15:35:00,40.692654,"{'latitude': '40.692654', 'longitude': '-73.93697'}",-73.93697,0,0,0,0,0,0,0,0,Sedan,11221.0
QUEENS,4340608,Unspecified,2020-08-22T00:00:00.000,2020-12-14 20:00:00,40.768955,"{'latitude': '40.768955', 'longitude': '-73.82669'}",-73.82669,0,0,0,0,0,0,0,0,Motorscooter,11354.0
BRONX,4340202,Unspecified,2020-08-20T00:00:00.000,2020-12-14 18:43:00,40.815437,"{'latitude': '40.815437', 'longitude': '-73.924'}",-73.924,0,0,0,0,1,0,1,0,Station Wagon/Sport Utility Vehicle,10451.0
BROOKLYN,4339853,Oversized Vehicle,2020-08-18T00:00:00.000,2020-12-14 15:05:00,40.682392,"{'latitude': '40.682392', 'longitude': '-73.99589'}",-73.99589,0,0,0,0,0,0,0,0,Sedan,11231.0
STATEN ISLAND,4339719,Driver Inattention/Distraction,2020-08-18T00:00:00.000,2020-12-14 08:00:00,40.630318,"{'latitude': '40.630318', 'longitude': '-74.08683'}",-74.08683,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10304.0
BROOKLYN,4338822,Driver Inattention/Distraction,2020-08-15T00:00:00.000,2020-12-14 13:35:00,40.676285,"{'latitude': '40.676285', 'longitude': '-73.97605'}",-73.97605,0,0,0,0,0,0,0,0,Sedan,11217.0
MANHATTAN,4339122,Unspecified,2020-08-15T00:00:00.000,2020-12-14 01:00:00,40.84932,"{'latitude': '40.84932', 'longitude': '-73.93374'}",-73.93374,0,0,0,0,1,0,1,0,Sedan,10033.0
BRONX,4337853,Steering Failure,2020-08-13T00:00:00.000,2020-12-14 05:00:00,40.869694,"{'latitude': '40.869694', 'longitude': '-73.86723'}",-73.86723,0,0,0,0,0,0,0,0,Sedan,10467.0
BRONX,4337579,Unspecified,2020-08-11T00:00:00.000,2020-12-14 11:30:00,40.86471,"{'latitude': '40.86471', 'longitude': '-73.90077'}",-73.90077,0,0,0,0,0,0,0,0,Sedan,10468.0
QUEENS,4337258,Driver Inattention/Distraction,2020-08-10T00:00:00.000,2020-12-14 13:02:00,40.685085,"{'latitude': '40.685085', 'longitude': '-73.83512'}",-73.83512,0,0,0,0,0,0,0,0,Sedan,11417.0
MANHATTAN,4337237,Driver Inattention/Distraction,2020-08-10T00:00:00.000,2020-12-14 07:10:00,40.81401,"{'latitude': '40.81401', 'longitude': '-73.94466'}",-73.94466,0,0,0,0,0,0,0,0,Taxi,10030.0
BRONX,4341528,Unspecified,2020-08-07T00:00:00.000,2020-12-14 20:00:00,40.890316,"{'latitude': '40.890316', 'longitude': '-73.90796'}",-73.90796,0,0,0,0,0,0,0,0,Taxi,10471.0
BRONX,4336366,Unspecified,2020-08-06T00:00:00.000,2020-12-14 12:00:00,40.84204,"{'latitude': '40.84204', 'longitude': '-73.86753'}",-73.86753,0,0,0,0,0,0,0,0,Sedan,10460.0
MANHATTAN,4334974,Unspecified,2020-08-04T00:00:00.000,2020-12-14 14:00:00,40.81153,"{'latitude': '40.81153', 'longitude': '-73.94463'}",-73.94463,0,0,0,0,0,0,0,0,Sedan,10027.0
QUEENS,4338500,Driver Inattention/Distraction,2020-08-04T00:00:00.000,2020-12-14 18:00:00,40.735325,"{'latitude': '40.735325', 'longitude': '-73.90835'}",-73.90835,0,0,0,0,0,0,0,0,Sedan,11377.0
BRONX,4334114,Unspecified,2020-08-02T00:00:00.000,2020-12-14 15:32:00,40.822533,"{'latitude': '40.822533', 'longitude': '-73.88509'}",-73.88509,0,0,0,0,0,0,0,0,Box Truck,10474.0
MANHATTAN,4337475,Turning Improperly,2020-07-30T00:00:00.000,2020-12-14 16:53:00,40.805824,"{'latitude': '40.805824', 'longitude': '-73.95436'}",-73.95436,1,0,0,0,0,0,1,0,Sedan,10026.0
BROOKLYN,4333232,Unspecified,2020-07-29T00:00:00.000,2020-12-14 11:45:00,40.617,"{'latitude': '40.617', 'longitude': '-73.947'}",-73.947,0,0,2,0,0,0,2,0,Sedan,11210.0
QUEENS,4332379,Unspecified,2020-07-26T00:00:00.000,2020-12-14 04:00:00,40.702538,"{'latitude': '40.702538', 'longitude': '-73.76531'}",-73.76531,0,0,0,0,0,0,0,0,Sedan,11412.0
BROOKLYN,4332021,Unspecified,2020-07-24T00:00:00.000,2020-12-14 16:50:00,40.641323,"{'latitude': '40.641323', 'longitude': '-73.983'}",-73.983,0,0,0,0,0,0,0,0,Taxi,11218.0
BROOKLYN,4331859,Unspecified,2020-07-21T00:00:00.000,2020-12-14 11:28:00,40.64036,"{'latitude': '40.64036', 'longitude': '-73.92571'}",-73.92571,0,0,0,0,0,0,0,0,Sedan,11203.0
BRONX,4325484,Unspecified,2020-07-05T00:00:00.000,2020-12-14 00:15:00,40.87601,"{'latitude': '40.87601', 'longitude': '-73.8796'}",-73.8796,0,0,0,0,0,0,0,0,Sedan,10467.0
QUEENS,4324341,Driver Inattention/Distraction,2020-06-30T00:00:00.000,2020-12-14 11:15:00,40.72362,"{'latitude': '40.72362', 'longitude': '-73.81127'}",-73.81127,0,0,0,0,0,0,0,0,LIMO,11367.0
QUEENS,4359989,Unspecified,2020-10-21T00:00:00.000,2020-12-14 18:20:00,40.753006,"{'latitude': '40.753006', 'longitude': '-73.8326'}",-73.8326,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,11355.0
QUEENS,4372092,Driver Inattention/Distraction,2020-11-30T00:00:00.000,2020-12-14 18:10:00,40.755337,"{'latitude': '40.755337', 'longitude': '-73.843254'}",-73.843254,0,0,5,0,0,0,5,0,Station Wagon/Sport Utility Vehicle,11368.0
BROOKLYN,4359986,Unspecified,2020-10-22T00:00:00.000,2020-12-14 01:50:00,40.642113,"{'latitude': '40.642113', 'longitude': '-73.90307'}",-73.90307,1,0,0,0,0,0,1,0,Sedan,11236.0
QUEENS,4374379,Driver Inattention/Distraction,2020-12-05T00:00:00.000,2020-12-14 23:30:00,40.709816,"{'latitude': '40.709816', 'longitude': '-73.80108'}",-73.80108,0,0,0,0,0,0,0,0,Pick-up Truck,11432.0
QUEENS,4363722,Reaction to Uninvolved Vehicle,2020-11-01T00:00:00.000,2020-12-14 01:46:00,40.724308,"{'latitude': '40.724308', 'longitude': '-73.72474'}",-73.72474,0,0,0,0,0,0,0,0,Sedan,11426.0
BROOKLYN,4358753,Unspecified,2020-10-16T00:00:00.000,2020-12-14 23:25:00,40.67066,"{'latitude': '40.67066', 'longitude': '-73.957985'}",-73.957985,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,11238.0
BROOKLYN,4368978,Driver Inattention/Distraction,2020-11-18T00:00:00.000,2020-12-14 15:39:00,40.654068,"{'latitude': '40.654068', 'longitude': '-73.96177'}",-73.96177,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,11226.0
BRONX,4366969,Driver Inattention/Distraction,2020-11-12T00:00:00.000,2020-12-14 09:30:00,40.81706,"{'latitude': '40.81706', 'longitude': '-73.85072'}",-73.85072,0,0,0,0,0,0,0,0,Sedan,10473.0
QUEENS,4368712,Unspecified,2020-11-17T00:00:00.000,2020-12-14 15:50:00,40.679688,"{'latitude': '40.679688', 'longitude': '-73.77711'}",-73.77711,0,0,0,0,0,0,0,0,Sedan,11434.0
MANHATTAN,4359535,Unspecified,2020-10-19T00:00:00.000,2020-12-14 08:30:00,40.83349,"{'latitude': '40.83349', 'longitude': '-73.94158'}",-73.94158,0,0,0,0,0,0,0,0,Taxi,10032.0
MANHATTAN,4364408,Following Too Closely,2020-11-04T00:00:00.000,2020-12-14 20:45:00,40.76661,"{'latitude': '40.76661', 'longitude': '-73.965'}",-73.965,0,0,0,0,0,0,0,0,Sedan,10065.0
BROOKLYN,4361758,Unspecified,2020-10-25T00:00:00.000,2020-12-14 13:00:00,40.67923,"{'latitude': '40.67923', 'longitude': '-73.92813'}",-73.92813,1,0,0,0,0,0,1,0,Bike,11233.0
QUEENS,4372364,Driver Inattention/Distraction,2020-11-30T00:00:00.000,2020-12-14 20:20:00,40.665634,"{'latitude': '40.665634', 'longitude': '-73.758156'}",-73.758156,0,0,0,0,0,0,0,0,Garbage or Refuse,11413.0
BRONX,4366125,Unspecified,2020-11-09T00:00:00.000,2020-12-14 11:45:00,40.86536,"{'latitude': '40.86536', 'longitude': '-73.87043'}",-73.87043,0,0,0,0,0,0,0,0,Sedan,10467.0
QUEENS,4361068,Driver Inattention/Distraction,2020-10-23T00:00:00.000,2020-12-14 19:44:00,40.735123,"{'latitude': '40.735123', 'longitude': '-73.87524'}",-73.87524,0,0,0,0,0,0,0,0,Sedan,11373.0
QUEENS,4371700,Unspecified,2020-11-18T00:00:00.000,2020-12-14 19:00:00,40.757847,"{'latitude': '40.757847', 'longitude': '-73.91661'}",-73.91661,0,0,0,0,0,0,0,0,Sedan,11103.0
MANHATTAN,4372915,Lost Consciousness,2020-12-03T00:00:00.000,2020-12-14 11:30:00,40.778805,"{'latitude': '40.778805', 'longitude': '-73.947975'}",-73.947975,0,0,2,0,0,0,2,0,Sedan,10128.0
MANHATTAN,4372812,Reaction to Uninvolved Vehicle,2020-12-02T00:00:00.000,2020-12-14 19:20:00,40.759754,"{'latitude': '40.759754', 'longitude': '-73.99371'}",-73.99371,1,0,0,0,0,0,1,0,E-Scooter,10036.0
BROOKLYN,4358375,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,2020-10-16T00:00:00.000,2020-12-14 16:50:00,40.633724,"{'latitude': '40.633724', 'longitude': '-74.02389'}",-74.02389,1,0,0,0,0,0,1,0,Pick-up Truck,11209.0
BRONX,4369634,Driver Inattention/Distraction,2020-11-18T00:00:00.000,2020-12-14 05:56:00,40.900204,"{'latitude': '40.900204', 'longitude': '-73.86315'}",-73.86315,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10470.0
MANHATTAN,4373652,Driver Inattention/Distraction,2020-12-04T00:00:00.000,2020-12-14 15:15:00,40.775,"{'latitude': '40.775', 'longitude': '-73.9631'}",-73.9631,0,0,0,0,0,0,0,0,Sedan,10075.0
QUEENS,4364884,Driver Inattention/Distraction,2020-11-04T00:00:00.000,2020-12-14 08:00:00,40.766747,"{'latitude': '40.766747', 'longitude': '-73.86924'}",-73.86924,0,0,0,0,0,0,0,0,Sedan,11369.0
